market;funding_total_usd;status;country_code;city;funding_rounds;founded_year;seed;venture;equity_crowdfunding;undisclosed;convertible_note;debt_financing;angel;grant;private_equity;product_crowdfunding;round_A;round_B;round_C;round_D;round_E;round_F;round_G;round_H
703;33457;0;39;2797;1;2010;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
154;966728;0;9;279;2;2011;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
642;85000000;1;112;638;1;1998;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
138;37644420;0;112;3364;4;2010;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
703;20000;0;112;3305;1;2004;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
445;58000;0;112;4061;1;2011;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;6000;0;112;1082;1;2013;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
32;300000;0;6;3636;2;2004;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
642;95875000;0;112;1506;6;2008;1;1;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0
464;80000;0;19;3851;1;2012;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
59;78089000;0;112;2304;4;2007;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
519;25000;0;112;761;1;2013;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
256;500000;0;112;718;1;2013;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
749;2274716;0;40;2099;1;2012;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
8;25654560;0;112;2560;5;2007;1;1;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0
124;17800000;0;112;2882;1;1998;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
387;5000000;0;22;3390;1;2000;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
59;1000000;0;112;170;2;2005;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
642;7650000;0;19;4042;1;2008;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
139;1543920;0;39;2797;1;2010;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
33;4100000;0;19;2746;2;2007;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
604;16000000;0;112;1099;1;2012;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
251;73047;0;36;1;2;2011;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
431;2203975;0;1;1;1;2006;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
653;6700000;0;52;3680;2;2008;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
628;1573976;0;22;275;2;1999;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
61;25000;0;112;3616;1;2014;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
